Name;Question;Description;Default;Validity;Visibility;Constraint
AluminumBar;Will the Product AluminumBar will be used?;AluminumBar description;;;AluminumBar &  - AluminumBar;( - AluminumBar ~ AluminumBar)
Base;Will the Product Base will be used?;Base description;;;Base &  - Base;(Base ~ InsertBase) & (Base ~ ScrewBase) & (Base ~ CarveReamings) & (Base ~ CarveReamings_two) & ( - Base ~ Base) & (Base ~ TurnBase) & (Base ~ CarveReamings_one)
Base_onestrip;Will the Product Base_onestrip will be used?;Base_onestrip description;;;Base_onestrip &  - Base_onestrip;(Base_onestrip ~  - Base_twostrip) & (Base_onestrip ~ Base) & ( - Base_onestrip ~ Base_onestrip)
Base_twostrip;Will the Product Base_twostrip will be used?;Base_twostrip description;;;Base_twostrip &  - Base_twostrip;(Base_twostrip ~ Base) & (Base_twostrip ~  - Base_onestrip) & ( - Base_twostrip ~ Base_twostrip)
Bishop_body;Will the Product Bishop_body will be used?;Bishop_body description;;;Bishop_body &  - Bishop_body;(Bishop_body ~  - King_body) & (Bishop_body ~  - Knight_body) & (Bishop_body ~  - Rook_body) & (Bishop_body ~  - Queen_body) & (Bishop_body ~  - Pawn_body) & (Bishop_body ~ Body_minor)
Body;Will the Product Body will be used?;Body description;;;Body &  - Body;( - Body ~ Body) & (Body ~ ScrewBody) & (Body ~ InsertBody)
Body_major;Will the Product Body_major will be used?;Body_major description;;;Body_major &  - Body_major;(Body_major ~  - Body_minor) & (Body_major ~ Body)
Body_minor;Will the Product Body_minor will be used?;Body_minor description;;;Body_minor &  - Body_minor;(Body_minor ~ Body) & (Body_minor ~  - Body_major)
CarveReamings;Do you want to install CarveReamings?;CarveReamings description;;;CarveReamings &  - CarveReamings;(CarveReamings ~ Base)
CarveReamings_one;Do you want to install CarveReamings_one?;CarveReamings_one description;;;Base & Base_onestrip & CutAluminumBar &  - CarveReamings_two;(CarveReamings_one ~  - CarveReamings_two) & (CarveReamings_one ~ Base) & (CarveReamings_one ~ CarveReamings)
