Name;Question;Description;Default;Validity;Visibility;Constraint
Changeover;Will the Product Changeover will be used?;Changeover description;;;Changeover &  - Changeover;(Changeover ~ PressChangeover) & (Changeover ~ InsertChangeover)
Changeover1;Will the Product Changeover1 will be used?;Changeover1 description;;;Changeover1 &  - Changeover1;(Changeover1 ~ Changeover)
Changeover2;Will the Product Changeover2 will be used?;Changeover2 description;;;Changeover2 &  - Changeover2;(Changeover2 ~ Changeover)
Claw;Will the Product Claw will be used?;Claw description;;;Claw &  - Claw;(Claw ~ ScrewScrew) & (Claw ~ InsertClaw)
Claw1_1;Will the Product Claw1_1 will be used?;Claw1_1 description;;;Claw1_1 &  - Claw1_1;(Claw1_1 ~ Claw) & ( - Claw1_1 ~ Claw1_1)
Claw1_2;Will the Product Claw1_2 will be used?;Claw1_2 description;;;Claw1_2 &  - Claw1_2;(Claw1_2 ~ Claw) & ( - Claw1_2 ~ Claw1_2)
Crossover;Will the Product Crossover will be used?;Crossover description;;;Crossover &  - Crossover;
InsertChangeover;Do you want to install InsertChangeover?;InsertChangeover description;;;InsertChangeover &  - InsertChangeover;(InsertChangeover ~ Changeover)
InsertChangeover1;Do you want to install InsertChangeover1?;InsertChangeover1 description;;;Changeover1 & Changeover1;(InsertChangeover1 ~ Changeover1) & (InsertChangeover1 ~ InsertChangeover)
InsertChangeover2;Do you want to install InsertChangeover2?;InsertChangeover2 description;;;Changeover2 & Changeover2;(InsertChangeover2 ~ Changeover2) & (InsertChangeover2 ~ InsertChangeover)
InsertClaw;Do you want to install InsertClaw?;InsertClaw description;;;InsertClaw &  - InsertClaw;(InsertClaw ~ Claw)
InsertClaw1_1;Do you want to install InsertClaw1_1?;InsertClaw1_1 description;;;Claw1_1 & Claw1_1 & InsertO_Ring & InsertO_Ring1_1;(InsertClaw1_1 ~ Claw1_1) & (InsertClaw1_1 ~ InsertClaw)
InsertClaw1_2;Do you want to install InsertClaw1_2?;InsertClaw1_2 description;;;Claw1_2 & Claw1_2;(InsertClaw1_2 ~ InsertO_Ring1_2) & (InsertClaw1_2 ~ InsertClaw) & (InsertClaw1_2 ~ Claw1_2)
