Name;Question;Description;Default;Validity;Visibility;Constraint
Barrel;Will the Product Barrel will be used?;Barrel description;;;Barrel &  - Barrel;(Barrel ~ InsertBarrel)
Barrel1_1;Will the Product Barrel1_1 will be used?;Barrel1_1 description;;;Barrel1_1 &  - Barrel1_1;(Barrel1_1 ~ Pipe) & (Barrel1_1 ~ WeldBarrel1_1) & ( - Barrel1_1 ~ Barrel1_1) & (Barrel1_1 ~ PressBarrel1_1) & (Barrel1_1 ~ InsertBarrel1_1) & (Barrel1_1 ~ Barrel)
Barrel1_2;Will the Product Barrel1_2 will be used?;Barrel1_2 description;;;Barrel1_2 &  - Barrel1_2;(Barrel1_2 ~ Pipe) & (Barrel1_2 ~ WeldBarrel1_2) & (Barrel1_2 ~ PressBarrel1_2) & (Barrel1_2 ~ InsertBarrel1_2) & (Barrel1_2 ~ Barrel)
Fork;Will the Product Fork will be used?;Fork description;;;Fork &  - Fork;
Fork3;Will the Product Fork3 will be used?;Fork3 description;;;Fork3 &  - Fork3;( - Fork3 ~ Fork3) & (Fork3 ~ Fork5) & (Fork3 ~ Fork)
Fork4;Will the Product Fork4 will be used?;Fork4 description;;;Fork4 &  - Fork4;( - Fork4 ~ Fork4) & (Fork4 ~ Fork) & (Fork4 ~ Fork5) & (Fork4 ~ InsertFork4)
Fork5;Will the Product Fork5 will be used?;Fork5 description;;;Fork5 &  - Fork5;(Fork5 ~ Fork) & ( - Fork5 ~ Fork5) & (Fork5 ~ InsertFork5)
InsertBarrel;Do you want to install InsertBarrel?;InsertBarrel description;;;InsertBarrel &  - InsertBarrel;(InsertBarrel ~ Barrel)
InsertBarrel1_1;Do you want to install InsertBarrel1_1?;InsertBarrel1_1 description;;;Barrel1_1 & Barrel1_1;(InsertBarrel1_1 ~ InsertBarrel) & (InsertBarrel1_1 ~ Barrel1_1)
InsertBarrel1_2;Do you want to install InsertBarrel1_2?;InsertBarrel1_2 description;;;Barrel1_2 & Barrel1_2;(InsertBarrel1_2 ~ InsertBarrel) & (InsertBarrel1_2 ~ Barrel1_2)
InsertFork3;Do you want to install InsertFork3?;InsertFork3 description;;;Fork3 & Pipe;(InsertFork3 ~ Fork3) & (InsertFork3 ~ Pipe)
InsertFork4;Do you want to install InsertFork4?;InsertFork4 description;;;Fork4 & Fork4;(InsertFork4 ~ Fork4)
InsertFork5;Do you want to install InsertFork5?;InsertFork5 description;;;Fork5 & Fork5;(InsertFork5 ~ Fork5)
InsertJack1;Do you want to install InsertJack1?;InsertJack1 description;;;Jack1 & Jack1;(InsertJack1 ~ Jack1)
InsertLock;Do you want to install InsertLock?;InsertLock description;;;InsertLock &  - InsertLock;(InsertLock ~ Lock)
InsertLock1;Do you want to install InsertLock1?;InsertLock1 description;;;Lock1 & Lock1 &  - InsertLock2 &  - InsertLock3;(InsertLock1 ~ InsertLock) & (InsertLock1 ~  - InsertLock3) & (InsertLock1 ~  - InsertLock2) & (InsertLock1 ~ Lock1)
InsertLock2;Do you want to install InsertLock2?;InsertLock2 description;;;Lock2 & Lock2 &  - InsertLock1 &  - InsertLock3;(InsertLock2 ~ InsertLock) & (InsertLock2 ~  - InsertLock3) & (InsertLock2 ~ Lock2) & (InsertLock2 ~  - InsertLock1)
InsertLock3;Do you want to install InsertLock3?;InsertLock3 description;;;Lock3 & Lock3 &  - InsertLock1 &  - InsertLock2;(InsertLock3 ~ InsertLock) & (InsertLock3 ~  - InsertLock1) & (InsertLock3 ~ Lock3) & (InsertLock3 ~  - InsertLock2)
InsertORing;Do you want to install InsertORing?;InsertORing description;;;O_Ring;(InsertORing ~ O_Ring)
InsertPipe;Do you want to install InsertPipe?;InsertPipe description;;;InsertPipe &  - InsertPipe;(InsertPipe ~ Pipe)
InsertPipe2;Do you want to install InsertPipe2?;InsertPipe2 description;;;Pipe2 & Pipe2 &  - InsertPipe3 &  - InsertPipe8;(InsertPipe2 ~ InsertPipe) & (InsertPipe2 ~  - InsertPipe3) & (InsertPipe2 ~ Pipe2) & (InsertPipe2 ~  - InsertPipe8)
InsertPipe3;Do you want to install InsertPipe3?;InsertPipe3 description;;;Pipe3 & Pipe3 &  - InsertPipe2 &  - InsertPipe8;(InsertPipe3 ~ InsertPipe) & (InsertPipe3 ~  - InsertPipe2) & (InsertPipe3 ~ Pipe3) & (InsertPipe3 ~  - InsertPipe8)
InsertPipe8;Do you want to install InsertPipe8?;InsertPipe8 description;;;Pipe8 & Pipe8 &  - InsertPipe2 &  - InsertPipe3;(InsertPipe8 ~  - InsertPipe3) & (InsertPipe8 ~ Pipe8) & (InsertPipe8 ~ InsertPipe) & (InsertPipe8 ~  - InsertPipe2)
InsertRing1;Do you want to install InsertRing1?;InsertRing1 description;;;Ring1;(InsertRing1 ~ Ring1)
InsertScrew;Do you want to install InsertScrew?;InsertScrew description;;;Screw & Screw;(InsertScrew ~ Screw)
Jack1;Will the Product Jack1 will be used?;Jack1 description;;;Jack1 &  - Jack1;(Jack1 ~ InsertJack1) & (Jack1 ~ Pipe) & ( - Jack1 ~ Jack1)
Lock;Will the Product Lock will be used?;Lock description;;;Lock &  - Lock;(Lock ~ InsertLock) & (Lock ~ Pipe) & ( - Lock ~ Lock)
