Name;Question;Description;Default;Validity;Visibility;Constraint
Body;Will the Product Body will be used?;Body description;;;Body &  - Body;(Body ~ InstallBody) & ( - Body ~ Body) & (Body ~ InsertBody)
Cabin;Will the Product Cabin will be used?;Cabin description;;;Cabin &  - Cabin;( - Cabin ~ Cabin)
Chassis;Will the Product Chassis will be used?;Chassis description;;;Chassis &  - Chassis;( - Chassis ~ Chassis)
Dumper;Will the Product Dumper will be used?;Dumper description;;;Dumper &  - Dumper;(Dumper ~  - OpenTop) & (Dumper ~  - StakeBed) & (Dumper ~ Body) & (Dumper ~  - Tank)
InsertBody;Do you want to install InsertBody?;InsertBody description;;;InsertBody &  - InsertBody;(InsertBody ~ Body)
InsertCabin;Do you want to install InsertCabin?;InsertCabin description;;;Cabin & Cabin;(InsertCabin ~ Cabin)
InsertChassis;Do you want to install InsertChassis?;InsertChassis description;;;Chassis & Chassis;(InsertChassis ~ Chassis)
InsertDumper;Do you want to install InsertDumper?;InsertDumper description;;;Dumper & Dumper &  - InsertOpenTop &  - InsertStakeBed &  - InsertTank;(InsertDumper ~ Dumper) & (InsertDumper ~  - InsertTank) & (InsertDumper ~ InsertBody) & (InsertDumper ~  - InsertOpenTop) & (InsertDumper ~  - InsertStakeBed)
InsertOpenTop;Do you want to install InsertOpenTop?;InsertOpenTop description;;;OpenTop & OpenTop &  - InsertDumper &  - InsertStakeBed &  - InsertTank;(InsertOpenTop ~ OpenTop) & (InsertOpenTop ~  - InsertDumper) & (InsertOpenTop ~ InsertBody) & (InsertOpenTop ~  - InsertStakeBed) & (InsertOpenTop ~  - InsertTank)
InsertStakeBed;Do you want to install InsertStakeBed?;InsertStakeBed description;;;StakeBed & StakeBed &  - InsertOpenTop &  - InsertDumper &  - InsertTank;(InsertStakeBed ~  - InsertTank) & (InsertStakeBed ~ StakeBed) & (InsertStakeBed ~  - InsertOpenTop) & (InsertStakeBed ~ InsertBody) & (InsertStakeBed ~  - InsertDumper)
InsertTank;Do you want to install InsertTank?;InsertTank description;;;Tank & Tank &  - InsertOpenTop &  - InsertDumper &  - InsertStakeBed;(InsertTank ~ Tank) & (InsertTank ~  - InsertStakeBed) & (InsertTank ~  - InsertDumper) & (InsertTank ~ InsertBody) & (InsertTank ~  - InsertOpenTop)
InstallBody;Do you want to install InstallBody?;InstallBody description;;;InstallBody &  - InstallBody;(InstallBody ~ Body) & (InstallBody ~ Chassis)
InstallCabin;Do you want to install InstallCabin?;InstallCabin description;;;Chassis & Cabin & InsertChassis & InsertCabin;(InstallCabin ~ Chassis) & (InstallCabin ~ Cabin)
InstallDumper;Do you want to install InstallDumper?;InstallDumper description;;;Dumper & Chassis & Cabin & InsertChassis & InsertDumper & InstallCabin &  - InstallOpenTop &  - InstallStakeBed &  - InstallTank;(InstallDumper ~  - InstallTank) & (InstallDumper ~ Chassis) & (InstallDumper ~ Dumper) & (InstallDumper ~ Cabin) & (InstallDumper ~  - InstallOpenTop) & (InstallDumper ~ InstallBody) & (InstallDumper ~  - InstallStakeBed)
InstallOpenTop;Do you want to install InstallOpenTop?;InstallOpenTop description;;;OpenTop & Chassis & InsertChassis & InsertOpenTop &  - InstallDumper &  - InstallStakeBed &  - InstallTank;(InstallOpenTop ~  - InstallStakeBed) & (InstallOpenTop ~  - InstallTank) & (InstallOpenTop ~  - InstallDumper) & (InstallOpenTop ~ Chassis) & (InstallOpenTop ~ OpenTop) & (InstallOpenTop ~ InstallBody)
InstallStakeBed;Do you want to install InstallStakeBed?;InstallStakeBed description;;;StakeBed & Chassis & InsertChassis & InsertStakeBed &  - InstallOpenTop &  - InstallDumper &  - InstallTank;(InstallStakeBed ~  - InstallDumper) & (InstallStakeBed ~  - InstallOpenTop) & (InstallStakeBed ~ Chassis) & (InstallStakeBed ~  - InstallTank) & (InstallStakeBed ~ InstallBody) & (InstallStakeBed ~ StakeBed)
InstallTank;Do you want to install InstallTank?;InstallTank description;;;Tank & Chassis & InsertChassis & InsertTank &  - InstallOpenTop &  - InstallDumper &  - InstallStakeBed;(InstallTank ~ InstallBody) & (InstallTank ~  - InstallOpenTop) & (InstallTank ~ Tank) & (InstallTank ~  - InstallStakeBed) & (InstallTank ~ Chassis) & (InstallTank ~  - InstallDumper)
OpenTop;Will the Product OpenTop will be used?;OpenTop description;;;OpenTop &  - OpenTop;(OpenTop ~  - Tank) & (OpenTop ~ Body) & (OpenTop ~  - StakeBed) & (OpenTop ~  - Dumper)
StakeBed;Will the Product StakeBed will be used?;StakeBed description;;;StakeBed &  - StakeBed;(StakeBed ~  - Tank) & (StakeBed ~ Body) & (StakeBed ~  - Dumper) & (StakeBed ~  - OpenTop)
Tank;Will the Product Tank will be used?;Tank description;;;Tank &  - Tank;(Tank ~  - StakeBed) & (Tank ~  - Dumper) & (Tank ~ Body) & (Tank ~  - OpenTop)
